title,url,discounted_price,original_price,User-Agent
AXGIO 3.5mm Quick Button Smart Klick Key Jack Dustproof Plug EPATH-318605,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/axgio-35mm-quick-button-smart-klick-key-jack-dustproof-plug-p-130544.html,$0.75,$4.71 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
SAMSUNG Class 10 32GB Micro SDHC UHS-1 TF Card Micro SD Card ATF-136011,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/samsung-class-10-32gb-micro-sdhc-uhs-1-tf-card-micro-sd-card-p-75176.html,$13.31,$35.51 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Universal APP Wireless Remote Selfie Shutter f IOS Android Phone EDT-359846,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/universal-app-wireless-remote-selfie-shutter-f-ios-android-phone-p-141471.html,$1.71,$5.63 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Stainless Steel Ultralight Folding Portable Credit Card Knife SCH-279023,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/stainless-steel-ultralight-folding-portable-credit-card-knife-p-118694.html,$1.22,$1.65 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Gum Strap Touch Screen Unisex LED Digital Watch WUS-166536,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/gum-strap-touch-screen-unisex-led-digital-watch-p-86516.html,$1.62,$2.15 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"MLAIS M52 Red Note 5.5"" IPS OGS MTK6752 64-bit 4G LTE Phone P07-MSM52",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/mlais-m52-red-note-55-ips-ogs-mtk6752-64-bit-4g-lte-phone-p-146109.html,$149.99,$169.99 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"DOOGEE DG700 4.5"" IPS OGS MTK6582 Android 5.0 Unlocked 3G Phone P05-DG700",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/doogee-dg700-45-ips-ogs-mtk6582-android-50-unlocked-3g-phone-p-141665.html,$133.88,$146.58 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Universal Car Air Vent Stand Holder for 2.24 ~ 2.8 Inch Phone RTH-374702,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/universal-car-air-vent-stand-holder-for-224-28-inch-phone-p-145044.html,$2.85,$5.86 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Mens Comfy Soft Cotton Modal Boxers Shorts DUW-385342,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/mens-comfy-soft-cotton-modal-boxers-shorts-p-147500.html,$2.07,$2.87 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Original Xiaomi Piston 1 Generation 3.5mm In-Ear Earphone Mic EEP-353458,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/original-xiaomi-piston-1-generation-35mm-in-ear-earphone-mic-p-139933.html,$6.91,$16.95 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
220-240V E27 12W 1100LM 36-LED SMD 5630 LED Corn Bulb HLT-363807,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/220-240v-e27-12w-1100lm-36-led-smd-5630-led-corn-bulb-p-142551.html,$2.75,$3.74 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"XIAOMI Redmi 2 4.7"" IPS HD MSM8916 Quad Core MIUI 6 4G LTE Phone P05-AHM2",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/xiaomi-redmi-2-47-ips-hd-msm8916-quad-core-miui-6-4g-lte-phone-p-144567.html,$127.70,$217.79 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"JIAYU S3 5.5"" Gorilla Glass MTK6752 64-bit 4G LTE 3GB RAM Phone P05-JYS3G",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/jiayu-s3-55-gorilla-glass-mtk6752-64-bit-4g-lte-3gb-ram-phone-p-146382.html,$199.37,$299.06 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"CHUWI Vi8 8"" Win8.1 Android 4.4 Dual OS Z3735F 2G 32GB Tablet PC ETC-373153",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/chuwi-vi8-8-win81-android-44-dual-os-z3735f-2g-32gb-tablet-pc-p-144433.html,$107.99,$154.60 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
2 x DIY Google Cardboard VR 3D Glass f iPhone Samsung Cellphone KB-346647,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/2-x-diy-google-cardboard-vr-3d-glass-f-iphone-samsung-cellphone-p-137897.html,$4.59,$4.95 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Resin Presbyopic Ultra Light Old Mirror Glasses For Men & Women DGS-367641,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/resin-presbyopic-ultra-light-old-mirror-glasses-for-men-women-p-143276.html,$1.17,$5.88 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Multifunctional Wallet Ninja Tool Card Outdoor Camping Tool HHI-377416,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/multifunctional-wallet-ninja-tool-card-outdoor-camping-tool-p-145522.html,$1.88,$4.30 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
16GB USB 2.0 Flash Drive USB Pen Drive U Disk EUD-337405,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/16gb-usb-20-flash-drive-usb-pen-drive-u-disk-p-136203.html,$4.99,$8.25 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
BK 7ml Neon Fluorescent Nail Polish Nail Art HCIL-211004,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/bk-7ml-neon-fluorescent-nail-polish-nail-art-p-98818.html,$1.20,$1.30 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Lokai Silicone Bead Mud Transparent Soft Bracelet - L Size DJA-384698,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/lokai-silicone-bead-mud-transparent-soft-bracelet-l-size-p-147556.html,$2.30,$3.36 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
